cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
040413106,,Domestic Common Stock,Technology,3576,Computer Hardware,Manufacturing,Computer Communications Equipment,,Computers
226718104,,Domestic Common Stock,Communication Services,7311,Advertising Agencies,Services,Services-Advertising Agencies,,Business Services
00808Y604,,Domestic Common Stock,Healthcare,3826,Medical Devices,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment
15101Q108,,ADR Common Stock,Technology,3672,Electronic Components,Manufacturing,Printed Circuit Boards,,Electronic Equipment
007924509,,ADR Preferred Stock,Financial Services,6311,Insurance - Diversified,Finance Insurance And Real Estate,Life Insurance,,Insurance
054540208,,Domestic Common Stock,Technology,3559,Semiconductor Equipment & Materials,Manufacturing,Special Industry Machinery Nec,,Machinery
12007610,,Domestic Common Stock,Consumer Cyclical,5945,Specialty Retail,Retail Trade,Retail-Hobby Toy & Game Shops,,Retail
00971T101,,Domestic Common Stock,Technology,7389,Software - Infrastructure,Services,Services-Business Services Nec,,Business Services
03831W108,,Domestic Common Stock,Technology,7370,Software - Application,Services,Services-Computer Programming Data Processing Etc.,,Business Services
G5304A102,,ADR Common Stock,Technology,7370,Software - Application,Services,Services-Computer Programming Data Processing Etc.,,Business Services
M20791105,,ADR Common Stock,Technology,3827,Semiconductor Equipment & Materials,Manufacturing,Optical Instruments & Lenses,,Measuring and Control Equipment
02156B103,,Domestic Common Stock,Technology,7372,Software - Application,Services,Services-Prepackaged Software,,Business Services
02772A109,,Domestic Common Stock,Financial Services,6311,Insurance - Diversified,Finance Insurance And Real Estate,Life Insurance,,Insurance
682095104,,Domestic Common Stock,Industrials,3430,Specialty Industrial Machinery,Manufacturing,Heating Equip Except Elec & Warm Air; & Plumbing Fixtures,,Construction Materials
69702V107,,Domestic Common Stock,Financial Services,6211,Asset Management,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading
060505740,,Domestic Preferred Stock,Financial Services,6021,Banks - Diversified,Finance Insurance And Real Estate,National Commercial Banks,,Banking
88604J103,,Domestic Common Stock,Communication Services,7374,Advertising Agencies,Services,Services-Computer Processing & Data Preparation,,Business Services
N07059210,,ADR Common Stock,Technology,3559,Semiconductor Equipment & Materials,Manufacturing,Special Industry Machinery Nec,,Machinery
338307101,,Domestic Common Stock,Technology,7374,Software - Infrastructure,Services,Services-Computer Processing & Data Preparation,,Business Services
501889208,,Domestic Common Stock,Consumer Cyclical,5010,Auto Parts,Wholesale Trade,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies,,Wholesale
106776115,,Domestic Preferred Stock,Energy,1311,Oil & Gas E&P,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas
12531Q105,,ADR Common Stock,Energy,1382,Oil & Gas Equipment & Services,Mining,Oil & Gas Field Exploration Services,,Petroleum and Natural Gas
G72228201,,ADR Common Stock,Industrials,5812,Specialty Business Services,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels
501242101,,Domestic Common Stock,Technology,3674,Semiconductor Equipment & Materials,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment
282914100,,Domestic Common Stock,Technology,7374,Software - Application,Services,Services-Computer Processing & Data Preparation,,Business Services
68162K106,,Domestic Common Stock,Basic Materials,5051,Steel,Wholesale Trade,Wholesale-Metals Service Centers & Offices,,Wholesale
30050E105,,ADR Common Stock,Healthcare,2834,Drug Manufacturers - Specialty & Generic,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products
152006102,,Canadian Common Stock,Basic Materials,1040,Gold,Mining,Gold And Silver Ores,,Precious Metals
47233W109,,Domestic Common Stock,Financial Services,6211,Capital Markets,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading
G2124J108,,ADR Common Stock,Technology,7372,Software - Infrastructure,Services,Services-Prepackaged Software,,Business Services
G7T16G103,,ADR Common Stock,Technology,7372,Software - Application,Services,Services-Prepackaged Software,,Business Services
74733T105,,Domestic Common Stock,Technology,7372,Software - Application,Services,Services-Prepackaged Software,,Business Services
46990A102,,Domestic Common Stock,Financial Services,6331,Insurance - Specialty,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,,Insurance
72303K405,,Domestic Common Stock,Financial Services,6199,Mortgage Finance,Finance Insurance And Real Estate,Finance Services,,Banking
G0544E303,,ADR Common Stock Primary Class,Healthcare,8090,Medical Care Facilities,Services,Services-Misc Health & Allied Services Nec,,Healthcare
64828T805,,Domestic Preferred Stock,Real Estate,6798,REIT - Mortgage,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading
049513104,,Domestic Common Stock,Technology,3674,Semiconductors,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment
529043408,,Domestic Common Stock Primary Class,Real Estate,6798,REIT - Industrial,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading
G8772L113,,Domestic Common Stock Warrant,Industrials,6770,Shell Companies,Finance Insurance And Real Estate,Blank Checks,,Trading
G1901X116,,ADR Common Stock Primary Class,Industrials,4412,Marine Shipping,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,,Transportation
G0369L200,,Domestic Common Stock Primary Class,Communication Services,4899,Entertainment,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication
950810887,,Domestic Preferred Stock,Financial Services,6021,Banks - Regional,Finance Insurance And Real Estate,National Commercial Banks,,Banking
45772F107,,Domestic Common Stock,Technology,3674,Semiconductors,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment
03823U102,,Domestic Common Stock,Technology,3674,Communication Equipment,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment
222388209,,Domestic Preferred Stock,Financial Services,6035,Banks - Regional,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking
54142L109,,Domestic Common Stock,Technology,7372,Software - Application,Services,Services-Prepackaged Software,,Business Services
124830878,,Domestic Common Stock,Real Estate,6798,REIT - Retail,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading
127387108,,Domestic Common Stock,Technology,7372,Software - Application,Services,Services-Prepackaged Software,,Business Services
M7071P109,,ADR Common Stock,Healthcare,2834,Drug Manufacturers - General,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products
518415104,,Domestic Common Stock,Technology,3674,Semiconductors,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment
110122140,,Domestic Common Stock Warrant,Healthcare,2834,Drug Manufacturers - General,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products
87162H103,,Domestic Common Stock,Technology,7371,Information Technology Services,Services,Services-Computer Programming Services,,Business Services
90184D100,,Domestic Common Stock,Healthcare,2836,Diagnostics & Research,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products
G98Y9E102,,ADR Common Stock,Industrials,3452,Specialty Industrial Machinery,Manufacturing,Bolts Nuts Screws Rivets & Washers,,Construction Materials
