cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
040126902,No data found,,,,,,,,
25460E711,,ETF,,,,,,,
040126952,No data found,,,,,,,,
041232109,No data found,,,,,,,,
04040Y959,No data found,,,,,,,,
04035M952,No data found,,,,,,,,
04035M902,No data found,,,,,,,,
56167R705,,ETF,,,,,,,
46127B601,,ETF,,,,,,,
03062D903,No data found,,,,,,,,
25063F107,,CEF,,,,,,,
040919902,No data found,,,,,,,,
04546C904,No data found,,,,,,,,
33733E724,,ETF,,,,,,,
043400100,No data found,,,,,,,,
47804J669,,ETF,,,,,,,
38149W663,,ETF,,,,,,,
05534B950,No data found,,,,,,,,
38747R264,,ETF,,,,,,,
31423L305,,ETF,,,,,,,
316188879,,ETF,,,,,,,
03485P300,No data found,,,,,,,,
003262952,No data found,,,,,,,,
047726902,No data found,,,,,,,,
05366Y951,No data found,,,,,,,,
30151E491,,ETF,,,,,,,
25461A494,,ETF,,,,,,,
05463X906,No data found,,,,,,,,
67092P672,,ETF,,,,,,,
00972D905,No data found,,,,,,,,
00972D955,No data found,,,,,,,,
055477903,No data found,,,,,,,,
055477953,No data found,,,,,,,,
05601C905,No data found,,,,,,,,
46092D301,,ETF,,,,,,,
023939901,No data found,,,,,,,,
02665T956,No data found,,,,,,,,
03044L954,No data found,,,,,,,,
03062D953,No data found,,,,,,,,
33733E740,,ETF,,,,,,,
14021L109,,ETF,,,,,,,
37960A321,,ETF,,,,,,,
38747R256,,ETF,,,,,,,
034948909,No data found,,,,,,,,
03211Q900,No data found,,,,,,,,
05637B905,No data found,,,,,,,,
009496950,No data found,,,,,,,,
05637B955,No data found,,,,,,,,
058586958,No data found,,,,,,,,
05988J953,No data found,,,,,,,,
33734X762,,ETF,,,,,,,
46144X123,,ETF,,,,,,,
78470P754,,ETF,,,,,,,
059520906,No data found,,,,,,,,
922020698,,ETF,,,,,,,
81369Y746,,ETF,,,,,,,
09581B953,No data found,,,,,,,,
12082W204,No data found,,,,,,,,
74933W551,,ETF,,,,,,,
81369Y779,,ETF,,,,,,,
153766100,No data found,,,,,,,,
88636V686,,ETF,,,,,,,
82889N269,,ETF,,,,,,,
98148L720,,ETF,,,,,,,
05617K109,,CEF,,,,,,,
072743206,No data found,,,,,,,,
05616B100,,CEF,,,,,,,
74933W429,,ETF,,,,,,,
754640100,,ETF,,,,,,,
