Symbol,Name,Common Shares Outstdg,Shr Out less Closely Held Sh,Shr Out less Closely Held Sh
FLWS,"1-800-FLOWERS.COM, Inc. Class A",64.1,30.6,49.0
TXG,10x Genomics Inc Class A,127.0,112.1,88.3
SRCE,1st Source Corporation,24.1,17.7,73.9
DDD,3D Systems Corporation,146.9,141.2,95.5
FDMT,"4D Molecular Therapeutics, Inc.",52.3,46.6,90.3
EGHT,"8x8, Inc.",139.3,134.0,97.0
MASS,908 Devices Inc.,37.8,28.2,74.3
ATEN,"A10 Networks, Inc.",72.0,70.3,97.7
AIR,AAR CORP.,39.8,38.9,97.7
AARD,"Aardvark Therapeutics, Inc.",21.8,12.1,55.2
ABX,"Abacus Global Management, Inc. Class A",95.9,34.7,38.5
ABEO,"Abeona Therapeutics, Inc.",57.0,48.3,90.9
ANF,Abercrombie & Fitch Co. Class A,44.9,43.9,98.1
ABM,ABM Industries Incorporated,58.5,57.5,98.4
ABSI,Absci Corporation,155.9,134.8,86.5
ACTG,Acacia Research Corporation,96.6,95.3,98.7
ASO,"Academy Sports and Outdoors, Inc.",64.5,63.6,98.7
ACAD,ACADIA Pharmaceuticals Inc.,171.2,168.7,98.5
AKR,Acadia Realty Trust,133.5,132.9,99.5
AAMI,Acadian Asset Management Inc.,35.6,35.1,98.1
ACEL,"Accel Entertainment, Inc. Class A",81.4,52.3,64.0
ACH,Accendra Health Inc,76.6,69.4,96.2
ACCO,ACCO Brands Corporation,92.3,89.4,95.8
ARAY,Accuray Incorporated,119.0,113.2,95.5
ACIW,"ACI Worldwide, Inc.",101.7,99.7,98.4
ACRS,"Aclaris Therapeutics, Inc.",139.7,121.0,85.4
ACMR,"ACM Research, Inc. Class A",66.2,55.4,83.7
ACU,Acme United Corporation,3.8,3.4,87.8
ACNB,ACNB Corporation,10.2,9.8,96.3
ACR,ACRES Commercial Realty Corp.,7.1,5.6,82.8
ACTU,"Actuate Therapeutics, Inc.",23.7,10.1,41.2
GOLF,Acushnet Holdings Corp.,58.6,27.1,46.7
ACVA,"ACV Auctions, Inc. Class A",174.6,163.4,94.9
ADAM,"Adamas Trust, Inc.",89.9,83.2,92.8
AHCO,AdaptHealth Corp.,136.1,86.3,65.8
ADPT,Adaptive Biotechnologies Corp.,160.0,154.0,96.2
ADCT,ADC Therapeutics Ltd,127.2,93.7,74.3
ADUS,Addus HomeCare Corporation,18.7,18.1,97.3
ADEA,Adeia Inc.,110.3,108.1,97.2
ADNT,Adient plc,78.4,76.7,98.5
ADMA,"ADMA Biologics, Inc.",231.8,224.1,96.6
ADTN,"ADTRAN Holdings, Inc.",81.0,74.3,86.7
AAP,"Advance Auto Parts, Inc.",60.3,59.2,98.0
AEIS,"Advanced Energy Industries, Inc.",38.0,37.6,99.1
ASIX,"Advansix, Inc.",27.0,25.5,95.9
ADV,Advantage Solutions Inc Class A,13.3,4.1,28.3
AEBI,Aebi Schmidt Holding AG,77.4,36.6,47.4
AEHR,Aehr Test Systems,31.5,29.7,93.7
ALMU,"Aeluma, Inc.",18.0,12.4,53.1
AVAV,"AeroVironment, Inc.",49.9,37.5,99.3
ASLE,AerSale Corporation,47.3,33.4,70.7
AEVA,"Aeva Technologies, Inc.",63.0,40.4,62.6
AGL,agilon health inc,16.7,12.0,73.5
AGYS,"Agilysys, Inc.",28.1,25.7,94.7
AGIO,"Agios Pharmaceuticals, Inc.",59.5,54.4,91.7
AHRT,"AH Realty Trust, Inc.",76.0,74.9,98.6
AIRJ,AirJoule Technologies Corporation Class A,68.5,31.1,37.3
AIRO,"Airo Group Holdings, Inc.",31.4,20.0,63.7
AIRS,"Airsculpt Technologies, Inc.",70.5,9.2,24.0
AISP,Airship AI Holdings Inc Class A,34.4,24.3,71.1
AKBA,"Akebia Therapeutics, Inc.",268.3,258.9,97.9
AKTS,"Aktis Oncology, Inc.",53.4,29.3,68.5
ALG,Alamo Group Inc.,12.2,11.7,95.8
ALRM,"Alarm.com Holdings, Inc.",49.5,46.5,94.4
AIN,Albany International Corp. Class A,28.4,28.2,98.9
ALDX,"Aldeyra Therapeutics, Inc.",60.3,55.8,92.5
ALEC,"Alector, Inc.",111.0,75.2,67.5
ALRS,Alerus Financial Corporation,25.1,22.8,90.6
ALX,"Alexander's, Inc.",5.1,2.1,41.6
ALCO,"Alico, Inc.",7.4,5.5,72.4
ALIT,"Alight, Inc. Class A",526.8,450.8,87.8
ALHC,"Alignment Healthcare, Inc.",206.7,182.0,86.9
ALKT,Alkami Technology Inc,107.0,63.8,63.4
ALKS,Alkermes Public Limited Company,166.7,163.6,98.1
ALGT,Allegiant Travel Company,18.4,15.8,83.9
ALH,"Alliance Laundry Holdings, Inc.",198.6,46.0,23.1
ALNT,Allient Inc.,17.0,15.0,84.8
ALLO,"Allogene Therapeutics, Inc.",331.3,239.9,68.5
AOSL,Alpha and Omega Semiconductor Limited,29.9,24.1,80.5
AMR,"Alpha Metallurgical Resources, Inc.",12.7,10.4,82.0
TKNO,"Alpha Teknova, Inc.",53.6,10.8,20.1
ATEC,"Alphatec Holdings, Inc.",153.8,116.2,76.3
PINE,"Alpine Income Property Trust, Inc.",16.5,15.0,90.2
ALTG,"Alta Equipment Group, Inc.",32.5,19.2,60.0
ALTI,"AlTi Global, Inc. Class A",107.4,68.7,64.6
ALT,"Altimmune, Inc.",194.4,178.2,99.3
ALMS,Alumis Inc.,127.2,82.7,63.9
AMAL,Amalgamated Financial Corp,29.9,17.7,59.5
AMBA,"Ambarella, Inc.",43.8,41.3,94.5
AMBQ,"Ambiq Micro, Inc.",21.4,17.0,81.4
AMC,"AMC Entertainment Holdings, Inc. Class A",612.1,606.4,99.6
AMCX,AMC Global Media Inc. Class A,43.9,31.2,70.8
AMTB,Amerant Bancorp Inc. Class A,39.4,34.7,89.9
AMRC,"Ameresco, Inc. Class A",53.0,32.0,60.4
CRMT,"America's Car-Mart, Inc.",8.3,7.6,93.1
AAT,"American Assets Trust, Inc.",61.4,47.3,77.4
ABAT,American Battery Technology Co.,136.4,131.5,96.3
ACIC,American Coastal Insurance Corporation,48.5,24.7,51.3
AEO,"American Eagle Outfitters, Inc.",166.7,151.5,91.4
AHR,"American Healthcare REIT, Inc.",192.7,191.2,99.2
AII,"American Integrity Insurance Group, Inc.",19.6,11.0,56.2
AOUT,"American Outdoor Brands, Inc.",12.6,11.6,86.2
APEI,"American Public Education, Inc.",18.3,17.4,94.1
ARL,"American Realty Investors, Inc.",16.2,1.3,8.1
AWR,American States Water Company,39.2,38.8,99.1
AMSC,American Superconductor Corporation,47.6,45.9,95.6
AVD,American Vanguard Corporation,28.6,27.7,93.2
AMWD,American Woodmark Corporation,14.6,14.0,96.9
ABCB,Ameris Bancorp,67.3,63.4,94.6
AMSF,"AMERISAFE, Inc.",18.7,18.3,98.2
ATLO,Ames National Corporation,8.9,8.7,98.4
AMN,"AMN Healthcare Services, Inc.",38.8,38.4,99.3
AMRX,"Amneal Pharmaceuticals, Inc. Class A",319.0,154.4,52.1
AMPH,"Amphastar Pharmaceuticals, Inc.",44.1,33.1,72.3
AMPL,Amplitude Inc Class A,132.6,84.7,61.0
AMPX,Amprius Technologies Inc,141.6,125.0,85.1
AMLX,"Amylyx Pharmaceuticals, Inc.",111.2,92.8,84.1
ANAB,"AnaptysBio, Inc.",29.1,27.2,93.4
AVXL,Anavex Life Sciences Corp.,92.7,89.8,96.6
ANDE,"Andersons, Inc.",34.1,32.6,94.5
AOMR,"Angel Oak Mortgage REIT, Inc.",24.9,18.7,75.0
ANGI,Angi Inc Class A,40.4,28.5,76.8
ANGO,"AngioDynamics, Inc.",41.3,36.5,95.4
ANIP,"ANI Pharmaceuticals, Inc.",22.7,20.0,86.2
ANIK,"Anika Therapeutics, Inc.",13.3,12.6,96.1
ANNX,"Annexon, Inc.",162.5,143.6,88.5
AVR,Anteris Technologies Global Corp.,97.3,81.3,99.0
